타임스탬프,명칭,한자,위치,분류,이미지,기여자 기록용 별명 (한 번만 적어주시면 됩니다)
2024. 5. 5 오전 9:46:39,서부,西部,"1896, 549",지명,수선전도,
2024. 5. 5 오전 9:46:39,마포,麻浦,"2191, 225",지명,수선전도,
2024. 5. 5 오전 9:46:39,선혜창,宣惠倉,"1982, 571",건물,수선전도,
2024. 5. 5 오전 9:46:39,보국사,輔國寺,"710, 660",건물,수선전도,
2024. 5. 5 오전 9:46:39,삼천동,三川洞,"700, 400",지명,수선전도,
2024. 5. 5 오전 9:46:39,상원사,上元寺,"554, 545",건물,수선전도,
2024. 5. 5 오전 9:46:39,용암사,龍岩寺,"539, 921",건물,수선전도,
2024. 5. 5 오전 9:46:39,양철평,梁哲坪,"887, 187",지명,수선전도,
2024. 5. 5 오전 9:46:39,보토소,補土所,"771, 666",지명,수선전도,
2024. 5. 5 오전 9:46:39,숙정문,肅靖門,"856, 789",문,수선전도,
2024. 5. 5 오전 9:46:39,서문,西門,"570, 446",문,수선전도,
2024. 5. 5 오전 10:06:26,신촌,新村,"2127, 1629",지명,수선전도,
2024. 5. 5 오전 10:10:13,잠두,蠶頭,"2159, 753",지명,수선전도,
2024. 5. 5 오후 1:47:13,정토사,淨土寺,"1079, 53",건물,수선전도,
2024. 5. 5 오후 1:48:22,안암동,安岩洞,"1319, 1698",지명,수선전도,
2024. 5. 5 오후 3:56:58,금호문,金虎門,"2287, 246",문,동궐도,
2024. 5. 5 오후 4:28:23,홍화문,弘化門,"1941, 5120",문,동궐도,
2024. 5. 6 오전 12:02:44,단봉문,丹鳳門,"2828, 577",문,동궐도,
2024. 5. 6 오전 12:12:34,대청,臺廳,"2223, 1711",건물,동궐도,
2024. 5. 6 오전 12:13:04,은대(승정원),銀臺,"2122, 1793",건물,동궐도,
2024. 5. 6 오전 12:13:34,당후,堂后,"2042, 1908",건물,동궐도,
2024. 5. 6 오전 12:15:00,빈청,賓廳,"2385, 1759",건물,동궐도,
2024. 5. 6 오전 12:16:50,측간,厠間,"2459, 1791",건물,동궐도,
2024. 5. 6 오전 12:19:20,정청,政廳,"2170, 1922",건물,동궐도,
2024. 5. 6 오전 12:20:18,연영문,延英門,"2161, 1890",문,동궐도,
2024. 5. 6 오전 11:47:44,도봉,道峯,"503, 1314",지명,수선전도,
2024. 5. 6 오전 11:49:09,아현,阿峴,"1824, 187",지명,수선전도,
2024. 5. 6 오후 12:03:48,경복궁,景福宮,"1275, 615",건물,수선전도,
2024. 5. 6 오후 12:05:05,남부,南部,"1702, 1021",지명,수선전도,
2024. 5. 6 오후 12:06:11,중부,中部,"1564, 1041",지명,수선전도,
2024. 5. 6 오후 12:07:15,동부,東部,"1495, 1220",지명,수선전도,
2024. 5. 6 오후 12:07:37,북부,北部,"1157, 821",지명,수선전도,
2024. 5. 6 오후 7:17:30,경추문,景秋門,"1379, 1036",문,동궐도,성완
2024. 5. 7 오전 11:03:20,노량,露梁,"2347, 420",지명,수선전도,
2024. 5. 7 오전 11:05:21,집춘문,集春門,"409, 5786",문,동궐도,정현
2024. 5. 7 오전 11:08:52,수철리,水鉄里,"1992, 151",지명,수선전도,
2024. 5. 8 오후 11:19:16,동문,東門,"594, 1019",문,수선전도,정현
2024. 5. 9 오후 5:06:47,창의문,彰義門,"958, 422",문,수선전도,
2024. 5. 9 오후 10:58:31,백자동,栢子洞,"1145, 1425",지명,수선전도,茶隣
2024. 5. 13 오전 11:17:05,돈화문,敦化門,"2508, 182",문,동궐도,
2024. 5. 13 오전 11:17:42,수문장청,守門將廳,"2557, 263",건물,동궐도,
2024. 5. 13 오전 11:18:03,수문장청,守門將廳,"2569, 90",건물,동궐도,
